Ranked list of top compounds using CMAP dataset
Rank	Score	Type	ID	Name	Description
1391	25.6	cp	BRD-K31471398	dihydrexidine	Dopamine receptor agonist
1397	25.46	cp	BRD-K92760278	riboflavin	Vitamin B
1402	25.32	cp	BRD-K51476772	ST-638	Tyrosine kinase inhibitor
1404	25.3	cp	BRD-K61829047	7b-cis	Exportin antagonist
1408	25.18	cp	BRD-K69600043	thiethylperazine	Dopamine receptor antagonist
1413	25.07	cp	BRD-K52020312	metronidazole	DNA inhibitor
1421	24.85	cp	BRD-M40783228	mesna	Antioxidant
1424	24.81	cp	BRD-K81876028	CP-93129	Serotonin receptor agonist
1426	24.7	cp	BRD-A14798026	mestranol	Estrogen receptor agonist
1434	24.54	cp	BRD-K16336526	capsaicin	TRPV agonist
1436	24.52	cp	BRD-K60762818	desipramine	Tricyclic antidepressant
1439	24.46	cp	BRD-A49225603	alimemazine	Histamine receptor agonist
1440	24.45	cp	BRD-A75455249	kavain	Calcium channel modulator
1444	24.35	cp	BRD-K57886322	fluocinonide	Glucocorticoid receptor agonist
1448	24.3	cp	BRD-K52850071	JAK3-Inhibitor-II	JAK inhibitor
1449	24.3	cp	BRD-K95885906	quercetagetin	PIM inhibitor
1454	24.16	cp	BRD-K28912512	nicotinamide	Protein synthesis stimulant
1456	24.13	cp	BRD-K61314889	IWR-1-ENDO	PARP inhibitor
1458	24.11	cp	BRD-K06543683	bisindolylmaleimide-ix	CDK inhibitor
1461	24.08	cp	BRD-K99964838	bosutinib	ABL inhibitor
1465	23.98	cp	BRD-K99696746	fatostatin	SREBP inhibitor
1466	23.98	cp	BRD-K26160755	RS-45041-190	Imidazoline receptor agonist
1467	23.97	cp	BRD-K19284129	salvinorin-a	Opioid receptor agonist
1472	23.87	cp	BRD-K71926323	marbofloxacin	Bacterial DNA gyrase inhibitor
1478	23.56	cp	BRD-K90543092	levonorgestrel	Estrogen receptor agonist
1479	23.56	cp	BRD-K31553034	zibotentan	Endothelin receptor antagonist
1483	23.48	cp	BRD-A95096829	PNU-96415E	Dopamine receptor antagonist
1502	23.18	cp	BRD-K15601958	SEW-2871	Lysophospholipid receptor agonist
1503	23.16	cp	BRD-A79981887	midodrine	Adrenergic receptor agonist
1506	23.01	cp	BRD-U51951544	ZG-10	JNK inhibitor
1508	22.96	cp	BRD-K50836978	purvalanol-a	CDK inhibitor
1509	22.94	cp	BRD-A31007383	SDZ-WAG-994	Adenosine receptor agonist
1517	22.8	cp	BRD-K38615104	A-443644	AKT inhibitor
1524	22.66	cp	BRD-A53576514	orphenadrine	Acetylcholine receptor antagonist
1529	22.59	cp	BRD-A81772229	simvastatin	HMGCR inhibitor
1532	22.42	cp	BRD-K46862739	metyrapone	Cytochrome P450 inhibitor
1536	22.3	cp	BRD-K50422030	clomethiazole	GABA receptor antagonist
1538	22.27	cp	BRD-K42221274	NNC-711	GAT inhibitor
1540	22.26	cp	BRD-K85606544	neratinib	EGFR inhibitor
1543	22.17	cp	BRD-K38323065	phenacetin	Cyclooxygenase inhibitor
1556	21.99	cp	BRD-A67373739	AICA-ribonucleotide	AMPK activator
1561	21.92	cp	BRD-K53220666	trimetozine	Sedative
1563	21.9	cp	BRD-K49294207	BIBU-1361	EGFR inhibitor
1567	21.84	cp	BRD-K47780086	penciclovir	DNA directed DNA polymerase inhibitor
1576	21.62	cp	BRD-K11540476	EMF-BCA1-64	Caspase inhibitor
1588	21.39	cp	BRD-A20239487	atenolol	Adrenergic receptor antagonist
1589	21.38	cp	BRD-K79254416	decitabine	DNA methyltransferase inhibitor
1590	21.34	cp	BRD-A62071884	siguazodan	Phosphodiesterase inhibitor
1592	21.32	cp	BRD-K82381502	acetylcholine	Acetylcholine receptor agonist
1598	21.16	cp	BRD-A69636825	diltiazem	Calcium channel blocker
1601	21.09	cp	BRD-K58299615	RO-90-7501	Beta amyloid inhibitor
1603	21.05	cp	BRD-K26863634	BIX-01338	Histone lysine methyltransferase inhibitor
1606	21.02	cp	BRD-K63504947	semaxanib	VEGFR inhibitor
1607	21.01	cp	BRD-K09668667	benzo(a)pyrene	Carcinogen
1610	21	cp	BRD-A75368507	demeclocycline	Bacterial 30S ribosomal subunit inhibitor
1611	20.98	cp	BRD-A23290232	westcort	Glucocorticoid receptor agonist
1613	20.91	cp	BRD-K55344148	BU-224	Imidazoline receptor ligand
1614	20.89	cp	BRD-K69556541	ryanodine	Calcium channel blocker
1616	20.88	cp	BRD-K35723520	darinaparsin	Apoptosis stimulant
1621	20.8	cp	BRD-A06784547	MRS-1334	Adenosine receptor antagonist
1631	20.68	cp	BRD-K27871032	lysergol	Ergoline alkaloid
1636	20.55	cp	BRD-K33308633	INCA-6	Calcineurin inhibitor
1641	20.41	cp	BRD-K73824630	skatole	Thrombin inhibitor
1642	20.4	cp	BRD-K29555132	arachidonamide	Cannabinoid receptor agonist
1643	20.39	cp	BRD-K02590140	O-2050	Cannabinoid receptor antagonist
1648	20.21	cp	BRD-K84639753	safinamide	Dopamine uptake inhibitor
1649	20.17	cp	BRD-A54487287	cortisone	Glucocorticoid receptor agonist
1654	20.02	cp	BRD-K63516691	T-0156	Phosphodiesterase inhibitor
1655	19.99	cp	BRD-A71657825	2-(biphenyl-4-ylsulfonamido)pentanedioic-acid	Matrix metalloprotease inhibitor
1657	19.97	cp	BRD-K54142781	cirazoline	Adrenergic receptor agonist
1659	19.88	cp	BRD-K22031190	diflunisal	Prostanoid receptor antagonist
1661	19.85	cp	BRD-K67506692	tyrphostin-AG-126	ERK1 and ERK2 phosphorylation inhibitor
1667	19.78	cp	BRD-K86887724	dofetilide	Potassium channel blocker
1670	19.71	cp	BRD-K04414442	SB-222200	Tachykinin antagonist
1673	19.69	cp	BRD-K14536225	piceid	Glucosidase inhibitor
1678	19.62	cp	BRD-K52930707	rescinnamine	ACE inhibitor
1681	19.57	cp	BRD-K23875128	RHO-kinase-inhibitor-III[rockout]	Rho associated kinase inhibitor
1692	19.34	cp	BRD-K88759641	EMD-66684	Angiotensin receptor antagonist
1696	19.28	cp	BRD-A08187463	racecadotril	Enkephalinase inhibitor
1697	19.26	cp	BRD-K89014967	AS-703026	MEK inhibitor
1701	19.22	cp	BRD-K16554956	PTB1	AMPK activator
1704	19.11	cp	BRD-A41450521	tosufloxacin	Bacterial DNA gyrase inhibitor
1706	19.05	cp	BRD-K33583600	isoliquiritigenin	Guanylate cyclase activator
1707	18.93	cp	BRD-K48869804	icilin	TRPV agonist
1712	18.83	cp	BRD-A10715913	sulpiride	Dopamine receptor antagonist
1716	18.8	cp	BRD-K93658967	aloisine	CDK inhibitor
1717	18.79	cp	BRD-K59369769	tozasertib	Aurora kinase inhibitor
1718	18.76	cp	BRD-K54529596	captopril	ACE inhibitor
1721	18.65	cp	BRD-A94709349	metaxalone	Muscle relaxant
1724	18.6	cp	BRD-A44448661	pentobarbital	Barbiturate antiepileptic
1731	18.44	cp	BRD-K02607075	tubocurarine	Acetylcholine receptor antagonist
1735	18.43	cp	BRD-K59637651	NSC-119889	Protein synthesis inhibitor
1736	18.43	cp	BRD-A56675431	altizide	Thiazide diuretic
1738	18.41	cp	BRD-K78633253	EXO-1	ARF inhibitor
1741	18.41	cp	BRD-A42759514	ornidazole	Antiprotozoal
1750	18.3	cp	BRD-K46556543	canrenoic-acid	Mineralocorticoid receptor antagonist
1755	18.25	cp	BRD-K34820100	tebuthiuron	Photosynthesis inhibitor
1757	18.22	cp	BRD-K74236984	UNC-0321	Histone lysine methyltransferase inhibitor
1760	18.16	cp	BRD-K15868788	SDZ-205-557	Serotonin receptor antagonist
1764	18.1	cp	BRD-K68756823	FR-180204	-666
1766	18.07	cp	BRD-A20126139	medrysone	Glucocorticoid receptor agonist
1768	18.03	cp	BRD-K60219430	serdemetan	MDM inhibitor
1775	17.99	cp	BRD-K24576554	AT-9283	JAK inhibitor
1777	17.97	cp	BRD-A25143711	hydrocortisone	Glucocorticoid receptor agonist
1784	17.82	cp	BRD-K39983086	loteprednol	Glucocorticoid receptor agonist
1788	17.76	cp	BRD-K22878149	SB-205607	Delta 1 opioid receptor agonist
1792	17.68	cp	BRD-K26573499	DMAB-anabaseine	Adrenergic receptor agonist
1794	17.66	cp	BRD-A59215453	lobelanidine	Acetylcholine receptor antagonist
1797	17.65	cp	BRD-A09495397	bicuculline	GABA receptor antagonist
1798	17.64	cp	BRD-A02759312	betaxolol	Adrenergic receptor antagonist
1799	17.63	cp	BRD-K80778372	RO-19-4605	GABA benzodiazepine site receptor inverse agonist
1801	17.6	cp	BRD-K67100011	pivmecillinam	Bacterial cell wall synthesis inhibitor
1802	17.55	cp	BRD-K68065987	MK-2206	AKT inhibitor
1803	17.55	cp	BRD-K38305202	domperidone	Dopamine receptor antagonist
1807	17.48	cp	BRD-K13261168	LY-16350	Dopamine receptor agonist
1808	17.48	cp	BRD-A23072235	pheniramine	Histamine receptor antagonist
1818	17.37	cp	BRD-A73859745	glycodeoxycholic-acid	Apoptosis stimulant
1824	17.31	cp	BRD-A29731977	17-hydroxyprogesterone-caproate	progesterone receptor agonist
1826	17.24	cp	BRD-K80672993	M2-PK-activator	-666
1827	17.23	cp	BRD-A69960130	bromocriptine	Dopamine receptor agonist
1828	17.23	cp	BRD-K79404599	enzastaurin	PKC inhibitor
1829	17.19	cp	BRD-K56115039	BU-226	Imidazoline receptor ligand
1830	17.17	cp	BRD-K18316707	O-1918	Cannabinoid receptor antagonist
1834	17.08	cp	BRD-K57179821	crotamiton	Antipruritic
1837	16.98	cp	BRD-K96037667	norethindrone	Progesterone receptor agonist
1839	16.95	cp	BRD-K10961822	latanoprost	Prostanoid receptor agonist
1843	16.86	cp	BRD-K49481516	galantamine	Acetylcholinesterase inhibitor
1847	16.75	cp	BRD-A04706586	bucladesine	Adenosine receptor agonist
1850	16.71	cp	BRD-A31575449	CGP-20712	Adrenergic receptor antagonist
1851	16.71	cp	BRD-A39255369	DCPIB	Chloride channel blocker
1852	16.71	cp	BRD-A93255169	thalidomide	TNF production inhibitor
1854	16.68	cp	BRD-K26429091	J-104129	Acetylcholine receptor antagonist
1857	16.65	cp	BRD-A14966924	alaproclate	Serotonin receptor antagonist
1858	16.64	cp	BRD-K85925969	zalcitabine	Nucleoside reverse transcriptase inhibitor
1859	16.63	cp	BRD-K79353516	indolophenanthridine	CALY activator
1860	16.62	cp	BRD-K99922388	DPO-1	Potassium channel blocker
1862	16.61	cp	BRD-A68589262	troxipide	Glucosamine synthetase stimulant
1863	16.59	cp	BRD-A26097136	bulleyaconitine-a	Non-opiod analgesic
1865	16.53	cp	BRD-A25569250	KI-16425	Lysophosphatidic acid receptor antagonist
1866	16.51	cp	BRD-K30563334	rifabutin	Protein synthesis inhibitor
1876	16.37	cp	BRD-K61737877	VEGF-receptor-2-kinase-inhibitor-IV	VEGFR inhibitor
1877	16.37	cp	BRD-K84266862	BRL-50481	Phosphodiesterase inhibitor
1878	16.36	cp	BRD-K43149758	myricetin	Androgen receptor agonist
1879	16.31	cp	BRD-K63150726	JTE-907	Cannabinoid receptor inverse agonist
1880	16.28	cp	BRD-A47144777	dihydro-7-desacetyldeoxygedunin	HSP inhibitor
1882	16.26	cp	BRD-A64297288	amlodipine	Calcium channel blocker
1883	16.25	cp	BRD-K10176267	L-701252	Glutamate receptor antagonist
1884	16.25	cp	BRD-K40578143	GR-79236	Adenosine receptor agonist
1886	16.24	cp	BRD-A09925278	etilefrine	Adrenergic receptor agonist
1890	16.13	cp	BRD-K79602928	metformin	Insulin sensitizer
1892	16.11	cp	BRD-K81839095	estrone	Estrogen receptor agonist
1895	16.06	cp	BRD-K63550407	erythromycin	NFkB pathway inhibitor
1897	16.04	cp	BRD-K47639036	flavoxate	Acetylcholine receptor antagonist
1900	16	cp	BRD-K93188295	ARC-239	Adrenergic receptor antagonist
1902	15.98	cp	BRD-K22947005	dexbrompheniramine	Histamine receptor antagonist
1903	15.98	cp	BRD-A01643550	prednisolone	Glucocorticoid receptor agonist
1905	15.95	cp	BRD-K35559145	levomepromazine	Dopamine receptor antagonist
1907	15.92	cp	BRD-K39520573	GW-5074	Leucine rich repeat kinase inhibitor
1911	15.86	cp	BRD-K63874012	thioperamide	Histamine receptor antagonist
1915	15.83	cp	BRD-A96485169	EBPC	Aldose reductase inhibitor
1917	15.8	cp	BRD-K01436366	XMD-1150	Leucine rich repeat kinase inhibitor
1918	15.78	cp	BRD-K05181463	L-741626	Dopamine receptor antagonist
1921	15.7	cp	BRD-K29582677	flunarizine	Calcium channel blocker
1922	15.69	cp	BRD-K15891719	tenofovir	Reverse transcriptase inhibitor
1923	15.68	cp	BRD-K02867583	minaprine	Serotonin reuptake inhibitor
1924	15.64	cp	BRD-K82731415	olomoucine	CDK inhibitor
1931	15.59	cp	BRD-K68558722	deracoxib	Cyclooxygenase inhibitor
1934	15.55	cp	BRD-K88304388	dextrorphan	Glutamate receptor antagonist
1936	15.54	cp	BRD-K19136521	indirubin	CDK inhibitor
1937	15.54	cp	BRD-A65145453	ATPA	Glutamate receptor agonist
1947	15.39	cp	BRD-K41996876	tyrphostin-1	EGFR inhibitor
1949	15.38	cp	BRD-K27737647	H-89	PKA inhibitor
1951	15.34	cp	BRD-K00656370	6-aminochrysene	Transferase inhibitor
1954	15.32	cp	BRD-A07000685	hydrocortisone	Glucocorticoid receptor agonist
1958	15.3	cp	BRD-A00267231	hemado	Adenosine receptor agonist
1962	15.24	cp	BRD-K01815685	indole	aryl hydrocarbon receptor agonist
1963	15.24	cp	BRD-K18059238	gamma-linolenic-acid	Cyclooxygenase inhibitor
1971	15.16	cp	BRD-K54094468	remoxipride	Dopamine receptor antagonist
1972	15.15	cp	BRD-K21565985	xylazine	Adrenergic receptor agonist
1973	15.1	cp	BRD-K99616396	motesanib	KIT inhibitor
1979	14.98	cp	BRD-A42831637	tetrahydrocannabinol-7-oic-acid	Anti-inflammatory
1982	14.94	cp	BRD-A98702003	carbenoxolone	11-beta-HSD1 inhibitor
1985	14.91	cp	BRD-A19195498	trimipramine	Norepinephrine reuptake inhibitor
1993	14.79	cp	BRD-K86873305	piperacillin	Bacterial cell wall synthesis inhibitor
1994	14.79	cp	BRD-K44094599	tacrolimus	Calcineurin inhibitor
1999	14.71	cp	BRD-K09132007	D-4476	TGF beta receptor inhibitor
2004	14.65	cp	BRD-K02581333	protein-tyrosine-phosphatase-inhibitor-IV	Tyrosine phosphatase inhibitor
2006	14.64	cp	BRD-A77050075	heraclenol	Vitamin K antagonist
2009	14.6	cp	BRD-A09094913	strychnine	Acetylcholine receptor antagonist
2013	14.55	cp	BRD-K15025317	BAY-11-7821	NFkB pathway inhibitor
2018	14.5	cp	BRD-A16694057	bisphenol-a	PPAR receptor antagonist
2025	14.36	cp	BRD-K28183345	proguanil	Dihydrofolate reductase inhibitor
2027	14.33	cp	BRD-K46424862	hymecromone	Monoamine oxidase inhibitor
2029	14.29	cp	BRD-K08132273	tyrphostin	EGFR inhibitor
2030	14.29	cp	BRD-A09722536	cyclophosphamide	DNA alkylating agent
2033	14.27	cp	BRD-K06792661	narciclasine	Coflilin signaling pathway activator
2036	14.18	cp	BRD-K09537769	NU-7026	DNA dependent protein kinase inhibitor
2040	14.15	cp	BRD-A71765365	mepireserpate	Catecholamine depleting sympatholytic
2049	14.04	cp	BRD-K16233984	eriochrome-black-t	Azo dye
2052	14.01	cp	BRD-K04877770	FTase-inhibitor-B581	Farnesyltransferase inhibitor
2055	13.96	cp	BRD-K60184833	tyrphostin-46	Tyrosine kinase inhibitor
2059	13.93	cp	BRD-K86930074	cediranib	KIT inhibitor
2060	13.87	cp	BRD-K22193694	dioxybenzone	Topical sunscreen agent
2061	13.86	cp	BRD-K49668410	clarithromycin	Bacterial 50S ribosomal subunit inhibitor
2062	13.86	cp	BRD-K32755366	reserpic-acid	Norepinephrine transporter inhibitor
2065	13.79	cp	BRD-K88679075	methandriol	Androgenic steroid
2068	13.76	cp	BRD-K29178788	dictamnine	Furoquinoline alkaloid
2069	13.76	cp	BRD-K09631521	thiotepa	Cytochrome P450 inhibitor
2070	13.73	cp	BRD-K34415467	trimethobenzamide	Histamine receptor antagonist
2072	13.72	cp	BRD-A93659613	GR-89696	Opioid receptor agonist
2073	13.7	cp	BRD-K19462402	buflomedil	Adrenergic receptor antagonist
2082	13.61	cp	BRD-K37792168	denbufylline	Phosphodiesterase inhibitor
2083	13.61	cp	BRD-K51751936	alfadolone	GABA receptor agonist
2086	13.54	cp	BRD-A43974575	tranylcypromine	Monoamine oxidase inhibitor
2093	13.42	cp	BRD-K59058766	chlorprothixene	Dopamine receptor antagonist
2097	13.41	cp	BRD-K57304726	PRE-084	Sigma receptor agonist
2099	13.39	cp	BRD-K15519488	CS-110266	Dopamine receptor agonist
2100	13.39	cp	BRD-K44899736	RO-16-6941	Monoamine oxidase inhibitor
2103	13.36	cp	BRD-K39111395	BCL2-inhibitor	BCL inhibitor
2105	13.33	cp	BRD-K80725632	lavendustin-c	EGFR inhibitor
2107	13.25	cp	BRD-K77793136	hydroxyfasudil	Rho associated kinase inhibitor
2114	13.15	cp	BRD-K69195780	NAN-190	Serotonin receptor agonist
2118	13.13	cp	BRD-A33447119	oxfendazole	Anthelmintic
2121	13.09	cp	BRD-K97158071	droperidol	Dopamine receptor antagonist
2123	13.05	cp	BRD-K76840893	RS-17053	Adrenergic receptor antagonist
2126	13.03	cp	BRD-A96882008	L-732138	Tachykinin antagonist
2131	12.86	cp	BRD-K63533170	AM-630	Cannabinoid receptor antagonist
2132	12.86	cp	BRD-K47192521	icosapent	Platelet aggregation inhibitor
2135	12.84	cp	BRD-A25067867	benzatropine	Acetylcholine receptor antagonist
2136	12.82	cp	BRD-A81233518	glycopyrrolate	Acetylcholine receptor antagonist
2139	12.75	cp	BRD-K33226500	indinavir	HIV protease inhibitor
2145	12.66	cp	BRD-U25771771	WZ-4-145	EGFR inhibitor
2146	12.65	cp	BRD-K17953061	staurosporine	PKC inhibitor
2148	12.6	cp	BRD-K41160163	fenobam	Glutamate receptor antagonist
2156	12.5	cp	BRD-K86434416	selegiline	Monoamine oxidase inhibitor
2159	12.47	cp	BRD-U73238814	QL-XI-92	DDR1 inhibitor
2161	12.47	cp	BRD-K97810537	beclometasone	Glucocorticoid receptor agonist
2162	12.44	cp	BRD-A38749782	fludrocortisone	Glucocorticoid receptor agonist
2163	12.44	cp	BRD-A21858158	praziquantel	Anthelmintic
2164	12.43	cp	BRD-A78322124	dobutamine	Adrenergic receptor agonist
2165	12.42	cp	BRD-A68631409	evodiamine	ATPase inhibitor
2167	12.38	cp	BRD-K06208435	YS-035	Calcium channel blocker
2169	12.38	cp	BRD-A31800922	procyclidine	Acetylcholine receptor antagonist
2176	12.28	cp	BRD-K93618743	ipriflavone	Bone resorption inhibitor
2178	12.27	cp	BRD-K88551539	CAY-10585	HIF modulator
2179	12.22	cp	BRD-K72816382	cinalukast	Leukotriene receptor antagonist
2181	12.16	cp	BRD-K07762753	aminopurvalanol-a	Tyrosine kinase inhibitor
2182	12.14	cp	BRD-K27184429	levocetirizine	Histamine receptor antagonist
2183	12.13	cp	BRD-K09963420	saquinavir	HIV protease inhibitor
2184	12.12	cp	BRD-A72483914	spiroxatrine	Serotonin receptor antagonist
2188	12.1	cp	BRD-K30480208	torasemide	Electrolyte reabsorption inhibitor
2190	12.09	cp	BRD-K15567136	papaverine	Phosphodiesterase inhibitor
2192	12.08	cp	BRD-K97354755	SU-6656	SRC inhibitor
2196	12.06	cp	BRD-K36737713	AG-957	Protein tyrosine kinase inhibitor
2200	11.99	cp	BRD-K07996107	harpagoside	Acetylcholinesterase inhibitor
2201	11.99	cp	BRD-K36258877	AZ-10417808	Caspase inhibitor
2202	11.98	cp	BRD-A74907996	equol	Estrogen receptor agonist
2203	11.98	cp	BRD-K12219985	glipizide	Sulfonylurea
2205	11.97	cp	BRD-K50388907	fenofibrate	PPAR receptor agonist
2206	11.95	cp	BRD-K68392338	ZK-93426	Benzodiazepine receptor antagonist
2207	11.94	cp	BRD-A98431941	ephedrine	Adrenergic receptor agonist
2213	11.88	cp	BRD-A65767837	hydrocortisone	Glucocorticoid receptor agonist
2218	11.85	cp	BRD-A34751532	homosalate	HSP inducer
2221	11.83	cp	BRD-A85025557	NCS-382	GABA receptor antagonist
2222	11.83	cp	BRD-A55815733	phylloquinone	Vitamin K
2229	11.75	cp	BRD-A16332958	modafinil	Adrenergic receptor agonist
2232	11.71	cp	BRD-K49890030	gavestinel	Glutamate receptor antagonist
2233	11.68	cp	BRD-A61470182	n-formylmethionylalanine	macrophage activator
2249	11.53	cp	BRD-K17796732	JWH-015	Cannabinoid receptor agonist
2254	11.47	cp	BRD-A62035778	scopolamine	Acetylcholine receptor antagonist
2256	11.46	cp	BRD-K53737926	amitriptyline	Norepinephrine inhibitor
2257	11.45	cp	BRD-K22828899	TUL-XXI039	Serine/threonine kinase inhibitor
2258	11.45	cp	BRD-A44551378	LFM-A12	EGFR inhibitor
2260	11.42	cp	BRD-A73741725	exemestane	Aromatase inhibitor
2262	11.4	cp	BRD-K87048468	RS-102221	Serotonin receptor antagonist
2271	11.32	cp	BRD-K13390322	AT-7519	CDK inhibitor
2272	11.31	cp	BRD-A80641450	FR-139317	Endothelin receptor antagonist
2274	11.26	cp	BRD-K31542390	mycophenolic-acid	Dehydrogenase inhibitor
2280	11.16	cp	BRD-K80527266	triacsin-c	Adrenergic receptor antagonist
2282	11.14	cp	BRD-K56047318	RHC-80267	Triacylglycerol lipase inhibitor
2286	11.09	cp	BRD-K76908866	CP-724714	EGFR inhibitor
2290	11.06	cp	BRD-A78295502	hydroquinine	Antiarrhythmic
2292	11.05	cp	BRD-K62353524	DY-131	Estrogen receptor agonist
2296	11.02	cp	BRD-K96319534	phentermine	Dopamine uptake inhibitor
2297	10.98	cp	BRD-K14767410	SC-560	Cyclooxygenase inhibitor
2300	10.94	cp	BRD-K76617868	fasudil	Rho associated kinase inhibitor
2305	10.9	cp	BRD-K32311154	nifekalant	Potassium channel blocker
2306	10.9	cp	BRD-K00627859	tubastatin-a	HDAC inhibitor
2310	10.81	cp	BRD-A72758037	asiatic-acid	Apoptosis stimulant
2314	10.75	cp	BRD-K83508485	FK-888	Tachykinin antagonist
2315	10.72	cp	BRD-K21971034	OM-137	Aurora kinase inhibitor
2316	10.72	cp	BRD-K69763916	LY-341495	Glutamate receptor antagonist
2318	10.69	cp	BRD-K95921201	reserpine	Vesicular monoamine transporter inhibitor
2320	10.68	cp	BRD-K93480852	KN-93	Calcium-calmodulin dependent protein kinase inhibitor
2326	10.64	cp	BRD-K82823076	RO-15-4513	GABA benzodiazepine site receptor inverse agonist
2328	10.63	cp	BRD-K63151507	MNITMT	Lymphocyte inhibitor
2332	10.6	cp	BRD-A93424738	dexamethasone	Glucocorticoid receptor agonist
2335	10.59	cp	BRD-K64052750	gefitinib	EGFR inhibitor
2337	10.56	cp	BRD-K54314721	zolmitriptan	Serotonin receptor agonist
2341	10.55	cp	BRD-K07117950	imperatorin	CDK inhibitor
2349	10.47	cp	BRD-K15842202	eudesmic-acid	-666
2353	10.39	cp	BRD-K90524085	MY-5445	Phosphodiesterase inhibitor
2354	10.37	cp	BRD-K76274772	MAPP-D-erythro	Ceramidase inhibitor
2356	10.36	cp	BRD-K51018020	VAMA-37	DNA dependent protein kinase inhibitor
2357	10.36	cp	BRD-K47659338	EMD-386088	Serotonin receptor agonist
2362	10.3	cp	BRD-K12102668	nialamide	Monoamine oxidase inhibitor
2367	10.23	cp	BRD-K28578425	cilostamide	Phosphodiesterase inhibitor
2370	10.21	cp	BRD-K94270326	ecopipam	Dopamine receptor antagonist
2374	10.18	cp	BRD-K87142802	veliparib	PARP inhibitor
2375	10.17	cp	BRD-K28907958	CD-437	Retinoid receptor agonist
2378	10.14	cp	BRD-K75089421	procainamide	Sodium channel blocker
2379	10.12	cp	BRD-A00100033	nifurtimox	DNA inhibitor
2380	10.11	cp	BRD-K39823328	VU-0366037-2	Glutamate receptor modulator
2383	10.08	cp	BRD-K36638830	anabasine	Acetylcholine receptor agonist
2384	10.07	cp	BRD-K80348542	cephaeline	Protein synthesis inhibitor
2386	10.04	cp	BRD-K60511616	pravastatin	HMGCR inhibitor
2391	9.97	cp	BRD-A43849199	karakoline	Phytotoxin
2393	9.96	cp	BRD-A83326220	brazilin	Nitric oxide production inhibitor
2394	9.94	cp	BRD-A07824748	flavanone	11-beta-HSD1 inhibitor
2395	9.93	cp	BRD-K64755930	etazolate	Phosphodiesterase inhibitor
2400	9.89	cp	BRD-K14765469	vesamicol	Acetylcholinesterase inhibitor
2402	9.85	cp	BRD-K84175871	pseudoephedrine	Adrenergic receptor agonist
2403	9.84	cp	BRD-A34706053	CGP-12177	Adrenergic receptor agonist
2406	9.79	cp	BRD-K20338176	cefaclor	Bacterial cell wall synthesis inhibitor
2408	9.78	cp	BRD-K14693417	cinchonine	P-glycoprotein inhibitor
2409	9.77	cp	BRD-A80960055	celastrol	Anti-inflammatory
2411	9.73	cp	BRD-K35941380	methysergide	Serotonin receptor antagonist
2413	9.71	cp	BRD-A92630576	trimebutine	Opioid receptor agonist
2414	9.69	cp	BRD-A72066420	mifobate	PPAR receptor antagonist
2421	9.59	cp	BRD-K45435259	SCH-23390	Dopamine receptor antagonist
2422	9.59	cp	BRD-A54596827	solifenacin	Acetylcholine receptor antagonist
2423	9.59	cp	BRD-A83937277	mephenytoin	Hydantoin antiepileptic
2425	9.58	cp	BRD-K32526544	DCEBIO	Potassium channel activator
2428	9.55	cp	BRD-K18574842	nafcillin	Bacterial cell wall synthesis inhibitor
2430	9.54	cp	BRD-K95763993	trapidil	PDGFR receptor inhibitor
2436	9.52	cp	BRD-K86600316	RS-79948	Adrenergic receptor antagonist
2437	9.5	cp	BRD-A79314293	cephalosporanic-acid	Bacterial cell wall synthesis inhibitor
2438	9.5	cp	BRD-K22010301	JLK-6	Gamma secretase inhibitor
2439	9.5	cp	BRD-K17868609	BRL-54443	Serotonin receptor agonist
2442	9.47	cp	BRD-A94793051	gestrinone	Progesterone receptor antagonist
2446	9.42	cp	BRD-K94841585	emodic-acid	Laxative
2450	9.37	cp	BRD-K50495309	SRC-kinase-inhibitor-I	SRC inhibitor
2451	9.35	cp	BRD-K83837640	JNJ-26854165	HDAC inhibitor
2453	9.3	cp	BRD-K65146499	nabumetone	Cyclooxygenase inhibitor
2454	9.27	cp	BRD-K37289225	clozapine	Dopamine receptor antagonist
2456	9.25	cp	BRD-K21936341	oxotremorine	Acetylcholine receptor agonist
2459	9.22	cp	BRD-A36471396	biperiden	Acetylcholine receptor antagonist
2460	9.22	cp	BRD-K10974103	diloxanide	Protein synthesis inhibitor
2465	9.2	cp	BRD-K29458283	chlorambucil	DNA inhibitor
2468	9.15	cp	BRD-K33211335	dextromethorphan	Glutamate receptor antagonist
2471	9.13	cp	BRD-A95869247	indapamide	Thiazide diuretic
2472	9.11	cp	BRD-K67017579	cilostazol	Phosphodiesterase inhibitor
2475	9.08	cp	BRD-K36616567	doxepin	Histamine receptor antagonist
2477	9.06	cp	BRD-K74195153	irsogladine	Phosphodiesterase inhibitor
2481	9.01	cp	BRD-K25741894	skimmianine	Acetylcholinesterase inhibitor
2482	9.01	cp	BRD-A91555231	norepinephrine	Adrenergic receptor agonist
2485	8.98	cp	BRD-A15415227	GW-1929	PPAR receptor agonist
2488	8.93	cp	BRD-K03670461	tyrphostin-AG-82	EGFR inhibitor
2489	8.92	cp	BRD-K02950022	BMS-299897	Gamma secretase inhibitor
2493	8.84	cp	BRD-A13122391	triptolide	RNA polymerase inhibitor
2494	8.83	cp	BRD-K93461745	buspirone	Serotonin receptor agonist
2503	8.74	cp	BRD-A66563878	medetomidine	Adrenergic receptor agonist
2506	8.72	cp	BRD-A31312900	montelukast	Leukotriene receptor antagonist
